1,amatilda,kraios
2,amatilda,jbelinda
3,amatilda,ennisp
4,amatilda,obamab
5,amatilda,gurhnick
6,amatilda,updogwhats
7,amatilda,lestermoe
8,amatilda,jasshugh
9,amatilda,mckockiner
10,kraios,updogwhats
11,kraios,lestermoe
12,kraios,jasshugh
13,jbelinda,ennisp
14,jbelinda,obamab
15,jbelinda,mckockiner
16,ennisp,obamab
17,ennisp,mckockiner
18,obamab,gurhnick
19,obamab,mckockiner
20,gurhnick,updogwhats
21,gurhnick,mckockiner
22,updogwhats,lestermoe
23,lestermoe,jasshugh
24,lestermoe,mckockiner
25,jasshugh,mckockiner
